Category Id;Category Name
10100162;Kitchen & Dining / Kitchen Utensils / Specialty Kitchen Tools / Food Domes
10100164;Kitchen & Dining / Kitchen Utensils / Specialty Kitchen Tools / Funnels
10100165;Kitchen & Dining / Kitchen Utensils / Specialty Kitchen Tools / Garlic Presses
10100166;Kitchen & Dining / Kitchen Utensils / Specialty Kitchen Tools / Ice Cream Scoops
10100167;Kitchen & Dining / Kitchen Utensils / Specialty Kitchen Tools / Ice Maker & Ice Cream Moulds
10100174;Kitchen & Dining / Kitchen Utensils / Specialty Kitchen Tools / Juicers
10100168;Kitchen & Dining / Kitchen Utensils / Specialty Kitchen Tools / Kitchen Blow Torches
10100169;Kitchen & Dining / Kitchen Utensils / Specialty Kitchen Tools / Kitchen Knives
10100170;Kitchen & Dining / Kitchen Utensils / Specialty Kitchen Tools / Kitchen Scales
10100171;Kitchen & Dining / Kitchen Utensils / Specialty Kitchen Tools / Kitchen Thermometers
10100172;Kitchen & Dining / Kitchen Utensils / Specialty Kitchen Tools / Kitchen Timers
10100173;Kitchen & Dining / Kitchen Utensils / Specialty Kitchen Tools / Knife Sharpeners
10100175;Kitchen & Dining / Kitchen Utensils / Specialty Kitchen Tools / Mashers
10100176;Kitchen & Dining / Kitchen Utensils / Specialty Kitchen Tools / Meat Tenderisers
10100177;Kitchen & Dining / Kitchen Utensils / Specialty Kitchen Tools / Mortar & Pestle Sets
10100179;Kitchen & Dining / Kitchen Utensils / Specialty Kitchen Tools / Other Specialty Kitchen Tools
10100163;Kitchen & Dining / Kitchen Utensils / Specialty Kitchen Tools / Peelers & Slicers
10100178;Kitchen & Dining / Kitchen Utensils / Specialty Kitchen Tools / Pepper Mills
12823;Kitchen & Dining / Kitchen Utensils / Thermometers & Timers
12797;Kitchen & Dining / Serveware / Bread Baskets & Trays
12799;Kitchen & Dining / Serveware / Butter Dishes
12792;Kitchen & Dining / Serveware / Cake & Tiered Stands
13122;Kitchen & Dining / Serveware / Cheese Boards & Platters
12802;Kitchen & Dining / Serveware / Cruets & Condiment Sets
12796;Kitchen & Dining / Serveware / Divided Serving Dishes
12804;Kitchen & Dining / Serveware / Food Warmers
12800;Kitchen & Dining / Serveware / Gravy Boats
12801;Kitchen & Dining / Serveware / Lazy Susans
10100885;Kitchen & Dining / Serveware / Mesh Covers
12793;Kitchen & Dining / Serveware / Salad Bowls
12790;Kitchen & Dining / Serveware / Serving Bowls
12794;Kitchen & Dining / Serveware / Serving Platters
12795;Kitchen & Dining / Serveware / Serving Trays
12791;Kitchen & Dining / Serveware / Serving Utensils
12803;Kitchen & Dining / Serveware / Trivets
12798;Kitchen & Dining / Serveware / Tureens
14637;Pet Supplies / Pet Accessories / Aquarium Needs / Air Pumps & Accessories
14631;Pet Supplies / Pet Accessories / Aquarium Needs / Aquariums, Tanks & Bowls / Aquariums
14633;Pet Supplies / Pet Accessories / Aquarium Needs / Aquariums, Tanks & Bowls / Bowls
14632;Pet Supplies / Pet Accessories / Aquarium Needs / Aquariums, Tanks & Bowls / Starter Kits
14641;Pet Supplies / Pet Accessories / Aquarium Needs / CO2 Equipment
14640;Pet Supplies / Pet Accessories / Aquarium Needs / Cleaning tools
14635;Pet Supplies / Pet Accessories / Aquarium Needs / Decorations
14642;Pet Supplies / Pet Accessories / Aquarium Needs / Feeders
14634;Pet Supplies / Pet Accessories / Aquarium Needs / Filters & Accessories
14636;Pet Supplies / Pet Accessories / Aquarium Needs / Lightings
14639;Pet Supplies / Pet Accessories / Aquarium Needs / Temperature control supplies
14638;Pet Supplies / Pet Accessories / Aquarium Needs / Water pumps
14548;Pet Supplies / Pet Accessories / Beds, Mats & Houses / Beds
14413;Pet Supplies / Pet Accessories / Beds, Mats & Houses / Habitats & Accessories
14550;Pet Supplies / Pet Accessories / Beds, Mats & Houses / Houses
14596;Pet Supplies / Pet Accessories / Beds, Mats & Houses / Indoor Cameras
14549;Pet Supplies / Pet Accessories / Beds, Mats & Houses / Mats
14566;Pet Supplies / Pet Accessories / Bowls & Feeders / Automatic Feeders
14564;Pet Supplies / Pet Accessories / Bowls & Feeders / Bowls & Diners
14567;Pet Supplies / Pet Accessories / Bowls & Feeders / Feeders & Wateners
14565;Pet Supplies / Pet Accessories / Bowls & Feeders / Feeding Mats
14569;Pet Supplies / Pet Accessories / Bowls & Feeders / Food Storage
14568;Pet Supplies / Pet Accessories / Bowls & Feeders / Fountains
14570;Pet Supplies / Pet Accessories / Bowls & Feeders / Nursing Supplies
14551;Pet Supplies / Pet Accessories / Cages, Crates & Doors / Cages & Crates
14552;Pet Supplies / Pet Accessories / Cages, Crates & Doors / Pens
14553;Pet Supplies / Pet Accessories / Cages, Crates & Doors / Pet Doors
14589;Pet Supplies / Pet Accessories / Carriers & Travels / Bicycle Accessories
14588;Pet Supplies / Pet Accessories / Carriers & Travels / Car Accessories
14587;Pet Supplies / Pet Accessories / Carriers & Travels / Carrier Backpacks
14586;Pet Supplies / Pet Accessories / Carriers & Travels / Carriers Purses
14671;Pet Supplies / Pet Accessories / Carriers & Travels / Dog & Cat Cages
14590;Pet Supplies / Pet Accessories / Carriers & Travels / Strollers
14591;Pet Supplies / Pet Accessories / Dog Training Aid / Bark Control & Remote Training
14593;Pet Supplies / Pet Accessories / Dog Training Aid / Calming Aids
14594;Pet Supplies / Pet Accessories / Dog Training Aid / Fence Systems
14595;Pet Supplies / Pet Accessories / Dog Training Aid / Sport Training
14592;Pet Supplies / Pet Accessories / Dog Training Aid / Training Collar
14420;Pet Supplies / Pet Accessories / Grooming / Bird
12423;Pet Supplies / Pet Accessories / Grooming / Brushes & Combs
12424;Pet Supplies / Pet Accessories / Grooming / Claw Care
14554;Pet Supplies / Pet Accessories / Grooming / Clothing, Shoes & Accessories / Backpacks
14555;Pet Supplies / Pet Accessories / Grooming / Clothing, Shoes & Accessories / Boots, Socks & Paw Protectors
14556;Pet Supplies / Pet Accessories / Grooming / Clothing, Shoes & Accessories / Coats
14557;Pet Supplies / Pet Accessories / Grooming / Clothing, Shoes & Accessories / Costumes
14558;Pet Supplies / Pet Accessories / Grooming / Clothing, Shoes & Accessories / Dresses
14559;Pet Supplies / Pet Accessories / Grooming / Clothing, Shoes & Accessories / Hair Accessories
14560;Pet Supplies / Pet Accessories / Grooming / Clothing, Shoes & Accessories / Hats
14561;Pet Supplies / Pet Accessories / Grooming / Clothing, Shoes & Accessories / Necklaces
14562;Pet Supplies / Pet Accessories / Grooming / Clothing, Shoes & Accessories / Shirts
14563;Pet Supplies / Pet Accessories / Grooming / Clothing, Shoes & Accessories / Sunglasses
12426;Pet Supplies / Pet Accessories / Grooming / Electric Clippers
12425;Pet Supplies / Pet Accessories / Grooming / Perfume / Deodorizers
10100638;Pet Supplies / Pet Accessories / Grooming / Reptile
12427;Pet Supplies / Pet Accessories / Grooming / Scissors & Blades
14547;Pet Supplies / Pet Accessories / Grooming / Shampoos & Bath Accessories
14414;Pet Supplies / Pet Accessories / Grooming / Small Pet
14571;Pet Supplies / Pet Accessories / Leashes, Collars & Muzzles / Collars
14576;Pet Supplies / Pet Accessories / Leashes, Collars & Muzzles / Dog Muzzles
14578;Pet Supplies / Pet Accessories / Leashes, Collars & Muzzles / GPS tracker
14574;Pet Supplies / Pet Accessories / Leashes, Collars & Muzzles / Harnesses
14575;Pet Supplies / Pet Accessories / Leashes, Collars & Muzzles / ID tags
14573;Pet Supplies / Pet Accessories / Leashes, Collars & Muzzles / Leashes
12494;Pet Supplies / Pet Accessories / Litter & Toilet / Cat Litter Boxes
12495;Pet Supplies / Pet Accessories / Litter & Toilet / Cat Litter Scoops
12493;Pet Supplies / Pet Accessories / Litter & Toilet / Cat Litters
10100633;Pet Supplies / Pet Accessories / Litter & Toilet / Dog Diapers
10100635;Pet Supplies / Pet Accessories / Litter & Toilet / Dog Training Pads & Trays
12496;Pet Supplies / Pet Accessories / Litter & Toilet / Odor & Strain Removers
12451;Pet Supplies / Pet Accessories / Litter & Toilet / Poop Bag & Scoopers
12497;Pet Supplies / Pet Accessories / Litter & Toilet / Urine Detectors
10100632;Pet Supplies / Pet Accessories / Toys
14600;Pet Supplies / Pet Accessories / Trees, Condos & Scratchers / Ramps
14599;Pet Supplies / Pet Accessories / Trees, Condos & Scratchers / Scratchers Pads & Posts
14598;Pet Supplies / Pet Accessories / Trees, Condos & Scratchers / Trees & Condos
14418;Pet Supplies / Pet Food / Bird Feed
12456;Pet Supplies / Pet Food / Cat Food & Treat / Cat Dry Food
10100641;Pet Supplies / Pet Food / Cat Food & Treat / Cat Frozen Food
12460;Pet Supplies / Pet Food / Cat Food & Treat / Cat Milk Replacers
12461;Pet Supplies / Pet Food / Cat Food & Treat / Cat Veterinary Diets
10100636;Pet Supplies / Pet Food / Cat Food & Treat / Cat Wet Food
12408;Pet Supplies / Pet Food / Dog Food & Treat / Dog Dry Food
12513;Pet Supplies / Pet Food / Dog Food & Treat / Dog Food Toppers
10100640;Pet Supplies / Pet Food / Dog Food & Treat / Dog Frozen Food
14546;Pet Supplies / Pet Food / Dog Food & Treat / Dog Milk Replacers
12420;Pet Supplies / Pet Food / Dog Food & Treat / Dog Treats / Bones
12415;Pet Supplies / Pet Food / Dog Food & Treat / Dog Treats / Cookies, Biscuits & Snacks
12416;Pet Supplies / Pet Food / Dog Food & Treat / Dog Treats / Dental Chews
12417;Pet Supplies / Pet Food / Dog Food & Treat / Dog Treats / Hooves
12418;Pet Supplies / Pet Food / Dog Food & Treat / Dog Treats / Jerky
12419;Pet Supplies / Pet Food / Dog Food & Treat / Dog Treats / Rawhides
12413;Pet Supplies / Pet Food / Dog Food & Treat / Dog Veterinary Diets
10100630;Pet Supplies / Pet Food / Dog Food & Treat / Dog Wet Food
14416;Pet Supplies / Pet Food / Fish Food
14421;Pet Supplies / Pet Food / Reptile Food
14412;Pet Supplies / Pet Food / Small Pet Food
14985;Pet Supplies / Pet Healthcare / Dental Care / Mouthwash
14580;Pet Supplies / Pet Healthcare / Dental Care / Supplements & Vitamins
